gal,wavelength_number,wavelength,AlAv,AlAv_err,tags,ref
MW,3.15511,0.31694616035574,1.64255,0.0179556,iue,Gordon2009
MW,3.14248,0.318220004582368,1.69986,0.0174061,iue,Gordon2009
MW,3.1299,0.319499025527972,1.64438,0.017488,iue,Gordon2009
MW,11.0438,0.090548543073942,5.15989,0.221923,fuse,Gordon2009
MW,10.9991,0.090916529534235,5.22601,0.204192,fuse,Gordon2009
MW,10.9103,0.091656508070356,6.40194,0.564267,fuse,Gordon2009
MW,10.8662,0.09202849202113,5.77457,0.14915,fuse,Gordon2009
MW,10.8223,0.092401799987064,5.79106,0.168216,fuse,Gordon2009
MW,10.7785,0.092777288119868,5.70592,0.148527,fuse,Gordon2009
MW,10.7349,0.09315410483563,5.72051,0.453437,fuse,Gordon2009
MW,10.6915,0.093532245241547,5.49183,0.15257,fuse,Gordon2009
MW,10.6483,0.093911704215696,5.41765,0.186925,fuse,Gordon2009
MW,10.6052,0.094293365518802,5.51848,0.144917,fuse,Gordon2009
MW,10.5196,0.095060648693867,5.31807,0.144074,fuse,Gordon2009
MW,10.4771,0.095446258983879,5.32059,0.154166,fuse,Gordon2009
MW,10.4347,0.095834092019895,5.31287,0.139096,fuse,Gordon2009
MW,10.3925,0.096223237911956,5.08549,0.142622,fuse,Gordon2009
MW,10.3087,0.097005442005297,5.40957,0.149361,fuse,Gordon2009
MW,10.267,0.097399435083277,5.10527,0.152435,fuse,Gordon2009
MW,10.2255,0.097794728864114,4.9687,0.138154,fuse,Gordon2009
MW,10.1841,0.098192280122937,4.90159,0.22776,fuse,Gordon2009
MW,10.1019,0.098991278868332,4.80515,0.152251,fuse,Gordon2009
MW,10.0611,0.099392710538609,4.87271,0.137892,fuse,Gordon2009
MW,10.0204,0.099796415312762,4.93841,0.128214,fuse,Gordon2009
MW,9.97986,0.100201806438167,4.72152,0.210881,fuse,Gordon2009
MW,9.93951,0.100608581308334,4.87334,0.132385,fuse,Gordon2009
MW,9.85929,0.10142718187618,4.53512,0.234241,fuse,Gordon2009
MW,9.81942,0.101839008821295,4.76922,0.130432,fuse,Gordon2009
MW,9.77971,0.102252520780269,4.78194,0.141754,fuse,Gordon2009
MW,9.70078,0.103084494236546,4.72528,0.126149,fuse,Gordon2009
MW,9.66155,0.103503061103032,4.56487,0.135772,fuse,Gordon2009
MW,9.62249,0.103923204908501,4.48517,0.133049,fuse,Gordon2009
MW,9.58357,0.104345249212976,4.46397,0.113491,fuse,Gordon2009
MW,9.54482,0.104768869397223,4.43617,0.112876,fuse,Gordon2009
MW,9.50623,0.105194172663611,4.54009,0.130662,fuse,Gordon2009
MW,9.46779,0.105621269588785,4.42218,0.112918,fuse,Gordon2009
MW,9.4295,0.106050161726497,4.3535,0.112409,fuse,Gordon2009
MW,9.39137,0.106480737102255,4.24038,0.134404,fuse,Gordon2009
MW,9.3534,0.106912994205316,4.31097,0.108662,fuse,Gordon2009
MW,9.31557,0.107347161794716,4.20365,0.110052,fuse,Gordon2009
MW,9.27791,0.107782895070118,3.99197,0.127927,fuse,Gordon2009
MW,9.24039,0.108220540475023,4.17342,0.105854,fuse,Gordon2009
MW,9.20302,0.108659983353291,4.06771,0.101012,fuse,Gordon2009
MW,9.16581,0.109101105085093,4.06164,0.101105,fuse,Gordon2009
MW,9.12875,0.109544023004245,4.07516,0.103142,fuse,Gordon2009
MW,9.09183,0.109988858128672,4.05083,0.100781,fuse,Gordon2009
MW,9.05507,0.110435369356615,3.99641,0.0992076,fuse,Gordon2009
MW,9.01845,0.1108837993225,3.93076,0.100922,fuse,Gordon2009
MW,8.98199,0.111333902620689,3.94753,0.0980583,fuse,Gordon2009
MW,8.94567,0.111785925481266,3.90736,0.095052,fuse,Gordon2009
MW,8.90949,0.112239870071126,3.8829,0.0977723,fuse,Gordon2009
MW,8.87346,0.112695611407501,3.851,0.0999428,fuse,Gordon2009
MW,8.83758,0.113153148260044,3.80554,0.0968485,fuse,Gordon2009
MW,8.80185,0.113612479194715,3.77639,0.0935959,fuse,Gordon2009
MW,8.76626,0.114073732697867,3.77054,0.0962254,fuse,Gordon2009
MW,8.73081,0.114536910091962,3.71965,0.0934298,fuse,Gordon2009
MW,8.6955,0.115002012535219,3.69324,0.0901496,fuse,Gordon2009
MW,8.66034,0.115468907687227,3.68308,0.0914562,fuse,Gordon2009
MW,8.62532,0.11593772752779,3.62794,0.0869283,fuse,Gordon2009
MW,8.59044,0.116408472674275,3.57599,0.0827114,fuse,Gordon2009
MW,8.55571,0.116881006953251,3.62095,0.0839611,fuse,Gordon2009
MW,8.52111,0.117355602732508,3.51596,0.0824688,fuse,Gordon2009
MW,8.48665,0.117832124572122,3.48092,0.0881894,fuse,Gordon2009
MW,8.45234,0.118310432377306,3.45548,0.0836739,fuse,Gordon2009
MW,8.41816,0.118790804641394,3.45695,0.0927445,fuse,Gordon2009
