composition,compostion_id,grain_size,size_index,stochastic_heating,heating_timescale,cooling_timescale,heat2cool_ratio,type,scale,temperature,wavelength,Cext,Cabs,Csca,albedo,g,eq_emis,st_emis
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.911674,4.80241E-18,4.80241E-18,2.44281E-25,5.08663E-08,1.84991E-06,5.8022e-311,3.15636E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.95847,4.43166E-18,4.43166E-18,2.01015E-25,4.53589E-08,1.69437E-06,4.64851E-296,3.41409E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.00767,4.08514E-18,4.08514E-18,1.65424E-25,4.04942E-08,1.55311E-06,6.85302E-282,3.65907E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.05939,3.76963E-18,3.76963E-18,1.36078E-25,3.60986E-08,1.42498E-06,2.02355E-268,3.89553E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.11377,3.47319E-18,3.47319E-18,1.11903E-25,3.22192E-08,1.30838E-06,1.29118E-255,4.1106E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.17094,3.21012E-18,3.21012E-18,9.19832E-26,2.86541E-08,1.1995E-06,1.9275E-243,4.32059E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.23105,2.9676E-18,2.9676E-18,7.56442E-26,2.549E-08,1.09948E-06,7.20708E-232,4.51157E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.29424,2.74274E-18,2.74274E-18,6.2227E-26,2.26879E-08,1.0081E-06,7.21767E-221,4.67919E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.36067,2.53482E-18,2.53482E-18,5.11602E-26,2.0183E-08,9.24407E-07,2.06508E-210,4.8224E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.43051,2.34295E-18,2.34295E-18,4.20418E-26,1.79439E-08,8.48306E-07,1.79485E-200,4.9405E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.50394,2.16874E-18,2.16874E-18,3.45613E-26,1.59361E-08,7.77919E-07,5.02943E-191,5.03923E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.58114,2.00972E-18,2.00972E-18,2.84122E-26,1.41374E-08,7.12495E-07,4.80024E-182,5.11667E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.6623,1.86263E-18,1.86263E-18,2.33595E-26,1.25411E-08,6.51415E-07,1.64336E-173,5.16791E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.74762,1.72419E-18,1.72419E-18,1.92075E-26,1.114E-08,5.96628E-07,2.1187E-165,5.18601E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.83733,1.59638E-18,1.59638E-18,1.57917E-26,9.89216E-09,5.46624E-07,1.08033E-157,5.17914E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,1.93164,1.47798E-18,1.47798E-18,1.29784E-26,8.78122E-09,5.00821E-07,2.27922E-150,5.14694E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,2.03079,1.36946E-18,1.36946E-18,1.06639E-26,7.78694E-09,4.57722E-07,2.07887E-143,5.09513E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,2.13503,1.26845E-18,1.26845E-18,8.76893E-27,6.91311E-09,4.19051E-07,8.53107E-137,5.01924E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,2.24463,1.17419E-18,1.17419E-18,7.20743E-27,6.13822E-09,3.82881E-07,1.63708E-130,4.91983E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,2.35984,1.08781E-18,1.08781E-18,5.92176E-27,5.44377E-09,3.50705E-07,1.52677E-124,4.80566E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,2.48097,1.00812E-18,1.00812E-18,4.86456E-27,4.8254E-09,3.20394E-07,7.16546E-119,4.67613E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,2.60832,9.33753E-19,9.33753E-19,3.99947E-27,4.28322E-09,2.92353E-07,1.7484E-113,4.52897E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,2.74221,8.63781E-19,8.63781E-19,3.2871E-27,3.80548E-09,2.67148E-07,2.28838E-108,4.36319E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,2.88297,7.99105E-19,7.99105E-19,2.69953E-27,3.37819E-09,2.43736E-07,1.65827E-103,4.18693E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,3.03095,7.38569E-19,7.38569E-19,2.21737E-27,3.00225E-09,2.22998E-07,6.84098E-99,3.998E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,3.18653,6.82824E-19,6.82824E-19,1.82164E-27,2.66781E-09,2.03181E-07,1.65342E-94,3.80356E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,3.35009,6.31243E-19,6.31243E-19,1.49604E-27,2.36999E-09,1.8554E-07,2.40244E-90,3.60393E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,3.52205,5.83347E-19,5.83347E-19,1.22805E-27,2.10518E-09,1.69614E-07,2.15064E-86,3.39991E-17
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,3.70284,5.39103E-19,5.39103E-19,1.00851E-27,1.87072E-09,1.55718E-07,1.21496E-82,3.19466E-17
